Serial No.,Flight Company,Flight ID,City Pair,Airports Pair,IATA Code Pair,Date,Class,Price (INR),Departure Time,Arrival Time
30,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-12-28,First,12555,21:15,00:15
31,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-04-25,Economy,5992,20:15,23:15
32,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-04-25,Business,10486,20:15,23:15
33,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-04-25,First,14980,20:15,23:15
34,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-20,Economy,6830,12:45,14:45
35,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-20,Business,11952,12:45,14:45
36,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-20,First,17075,12:45,14:45
37,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-08,Economy,7160,23:30,02:30
38,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-08,Business,12530,23:30,02:30
39,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-08,First,17900,23:30,02:30
40,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-09,Economy,4736,02:30,05:30
41,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-09,Business,8288,02:30,05:30
42,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-05-09,First,11840,02:30,05:30
43,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-04-12,Economy,5268,13:15,15:15
44,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-04-12,Business,9219,13:15,15:15
45,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-04-12,First,13170,13:15,15:15
46,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-29,Economy,7284,18:00,20:00
47,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-29,Business,12747,18:00,20:00
48,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-29,First,18210,18:00,20:00
49,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-21,Economy,7473,20:00,23:00
50,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-21,Business,13077,20:00,23:00
51,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-11-21,First,18682,20:00,23:00
52,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-08-31,Economy,6447,11:15,12:15
53,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-08-31,Business,11282,11:15,12:15
54,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-08-31,First,16117,11:15,12:15
55,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-01-10,Economy,5913,13:00,15:00
56,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-01-10,Business,10347,13:00,15:00
57,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2026-01-10,First,14782,13:00,15:00
58,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-12-17,Economy,5314,03:00,06:00
59,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-12-17,Business,9299,03:00,06:00
60,IndiGo,6E4805,Bengaluru - Hyderabad,Kempegowda International Airport - Rajiv Gandhi International Airport,BLR - HYD,2025-12-17,First,13285,03:00,06:00
61,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-06-25,Economy,6786,07:30,09:30
62,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-06-25,Business,11875,07:30,09:30
63,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-06-25,First,16965,07:30,09:30
64,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-09,Economy,5302,05:00,06:00
65,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-09,Business,9278,05:00,06:00
66,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-09,First,13255,05:00,06:00
67,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-11,Economy,6798,01:00,04:00
68,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-11,Business,11896,01:00,04:00
69,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-11,First,16995,01:00,04:00
70,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-12-05,Economy,6340,03:15,04:15
71,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-12-05,Business,11095,03:15,04:15
72,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-12-05,First,15850,03:15,04:15
73,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-20,Economy,4542,06:00,07:00
74,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-20,Business,7948,06:00,07:00
75,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-20,First,11355,06:00,07:00
76,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-28,Economy,7866,20:15,21:15
77,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-28,Business,13765,20:15,21:15
78,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-28,First,19665,20:15,21:15
79,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-09-15,Economy,7749,03:30,04:30
80,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-09-15,Business,13560,03:30,04:30
81,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-09-15,First,19372,03:30,04:30
82,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-21,Economy,6022,22:15,01:15
83,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-21,Business,10538,22:15,01:15
84,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-21,First,15055,22:15,01:15
85,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-06-24,Economy,3875,12:45,15:45
86,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-06-24,Business,6781,12:45,15:45
87,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-06-24,First,9687,12:45,15:45
88,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-05,Economy,6788,23:45,00:45
89,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-05,Business,11879,23:45,00:45
90,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-05,First,16970,23:45,00:45
91,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-24,Economy,7028,19:15,23:15
92,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-24,Business,12299,19:15,23:15
93,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-24,First,17570,19:15,23:15
94,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-25,Economy,7950,00:45,02:45
95,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-25,Business,13912,00:45,02:45
96,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-01-25,First,19875,00:45,02:45
97,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-05-17,Economy,5373,03:45,04:45
98,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-05-17,Business,9402,03:45,04:45
99,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-05-17,First,13432,03:45,04:45
100,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-26,Economy,7270,00:30,02:30
101,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-26,Business,12722,00:30,02:30
102,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-26,First,18175,00:30,02:30
103,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-10-06,Economy,4328,19:45,23:45
104,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-10-06,Business,7574,19:45,23:45
105,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-10-06,First,10820,19:45,23:45
106,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-07,Economy,5283,02:30,06:30
107,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-07,Business,9245,02:30,06:30
108,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-08-07,First,13207,02:30,06:30
109,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-03,Economy,6937,15:30,16:30
110,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-03,Business,12139,15:30,16:30
111,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2026-03-03,First,17342,15:30,16:30
112,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-29,Economy,3533,16:15,19:15
113,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-29,Business,6182,16:15,19:15
114,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-29,First,8832,16:15,19:15
115,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-12-28,Economy,4473,16:00,20:00
116,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-12-28,Business,7827,16:00,20:00
117,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-12-28,First,11182,16:00,20:00
118,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-26,Economy,7862,14:15,18:15
119,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-26,Business,13758,14:15,18:15
120,IndiGo,6E7708,Goa - Mumbai,Dabolim Airport - Chhatrapati Shivaji International Airport,GOI - BOM,2025-07-26,First,19655,14:15,18:15
121,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-04-03,Economy,3724,05:15,06:15
122,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-04-03,Business,6517,05:15,06:15
123,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-04-03,First,9310,05:15,06:15
124,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-01-21,Economy,6729,19:00,23:00
125,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-01-21,Business,11775,19:00,23:00
126,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-01-21,First,16822,19:00,23:00
127,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-09-11,Economy,5407,19:15,22:15
128,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-09-11,Business,9462,19:15,22:15
129,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-09-11,First,13517,19:15,22:15
130,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-05,Economy,4046,12:30,14:30
131,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-05,Business,7080,12:30,14:30
132,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-05,First,10115,12:30,14:30
133,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-21,Economy,3511,21:45,01:45
134,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-21,Business,6144,21:45,01:45
135,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-21,First,8777,21:45,01:45
136,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-07-16,Economy,6463,00:30,02:30
137,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-07-16,Business,11310,00:30,02:30
138,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-07-16,First,16157,00:30,02:30
139,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-15,Economy,5143,01:30,05:30
140,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-15,Business,9000,01:30,05:30
141,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-15,First,12857,01:30,05:30
142,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-06-19,Economy,3678,22:30,01:30
143,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-06-19,Business,6436,22:30,01:30
144,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-06-19,First,9195,22:30,01:30
145,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-03,Economy,4293,02:30,03:30
146,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-03,Business,7512,02:30,03:30
147,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-03,First,10732,02:30,03:30
148,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-01-30,Economy,4785,19:15,23:15
149,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-01-30,Business,8373,19:15,23:15
150,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-01-30,First,11962,19:15,23:15
151,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-11-28,Economy,7821,22:00,00:00
152,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-11-28,Business,13686,22:00,00:00
153,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-11-28,First,19552,22:00,00:00
154,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-17,Economy,6881,03:00,06:00
155,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-17,Business,12041,03:00,06:00
156,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-17,First,17202,03:00,06:00
157,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-10-02,Economy,4707,22:30,00:30
158,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-10-02,Business,8237,22:30,00:30
159,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-10-02,First,11767,22:30,00:30
160,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-09,Economy,5437,16:15,18:15
161,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-09,Business,9514,16:15,18:15
162,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-09,First,13592,16:15,18:15
163,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-08,Economy,4399,12:15,14:15
164,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-08,Business,7698,12:15,14:15
165,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-02-08,First,10997,12:15,14:15
166,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-18,Economy,3971,15:45,16:45
167,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-18,Business,6949,15:45,16:45
168,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2026-03-18,First,9927,15:45,16:45
169,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-08-14,Economy,6425,02:45,04:45
170,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-08-14,Business,11243,02:45,04:45
171,IndiGo,6E5910,Goa - Ahmedabad,Dabolim Airport - Sardar Vallabhbhai Patel International Airport,GOI - AMD,2025-08-14,First,16062,02:45,04:45
